COUNTYNAME,COUNTYSEAT,STATE ABBREVIATION
Adams,Quincy,IL
Alexander,Cairo,IL
Bond,Greenville,IL
Boone,Belvidere,IL
Brown,Mt. Sterling,IL
Bureau,Princeton,IL
Calhoun,Hardin,IL
Carroll,Mount Carroll,IL
Cass,Virginia,IL
Champaign,Urbana,IL
Christian,Taylorville,IL
Clark,Marshall,IL
Clay,Louisville,IL
Clinton,Carlyle,IL
Coles,Charleston,IL
Cook,Chicago,IL
Crawford,Robinson,IL
Cumberland,Toledo,IL
DeKalb,Sycamore,IL
De Witt,Clinton,IL
Douglas,Tuscola,IL
DuPage,Wheaton,IL
Edgar,Paris,IL
Edwards,Albion,IL
Effingham,Effingham,IL
Fayette,Vandalia,IL
Ford,Paxton,IL
Franklin,Benton,IL
Fulton,Lewistown,IL
Gallatin,Shawneetown,IL
Greene,Carrollton,IL
Grundy,Morris,IL
Hamilton,McLeansboro,IL
Hancock,Carthage,IL
Hardin,Elizabethtown,IL
Henderson,Oquawka,IL
Henry,Cambridge,IL
Iroquois,Watseka,IL
Jackson,Murphysboro,IL
Jasper,Newton,IL
Jefferson,Mt. Vernon,IL
Jersey,Jerseyville,IL
Jo Daviess,Galena,IL
Johnson,Vienna,IL
Kane,Geneva,IL
Kankakee,Kankakee,IL
Kendall,Yorkville,IL
Knox,Galesburg,IL
Lake,Waukegan,IL
LaSalle,Ottawa,IL
Lawrence,Lawrenceville,IL
Lee,Dixon,IL
Livingston,Pontiac,IL
Logan,Lincoln,IL
McDonough,Macomb,IL
McHenry,Woodstock,IL
McLean,Bloomington,IL
Macon,Decatur,IL
Macoupin,Carlinville,IL
Madison,Edwardsville,IL
Marion,Salem,IL
Marshall,Lacon,IL
Mason,Havana,IL
Massac,Metropolis,IL
Menard,Petersburg,IL
Mercer,Aledo,IL
Monroe,Waterloo,IL
Montgomery,Hillsboro,IL
Morgan,Jacksonville,IL
Moultrie,Sullivan,IL
Ogle,Oregon,IL
Peoria,Peoria,IL
Perry,Pinkneyville,IL
Piatt,Monticello,IL
Pike,Pittsfield,IL
Pope,Golconda,IL
Pulaski,Mound City,IL
Putnam,Hennepin,IL
Randolph,Chester,IL
Richland,Olney,IL
Rock Island,Rock Island,IL
St. Clair,Belleville,IL
Saline,Harrisburg,IL
Sangamon,Springfield,IL
Schuyler,Rushville,IL
Scott,Winchester,IL
Shelby,Shelbyville,IL
Stark,Toulon,IL
Stephenson,Freeport,IL
Tazewell,Pekin,IL
Union,Jonesboro,IL
Vermilion,Danville,IL
Wabash,Mount Carmel,IL
Warren,Monmouth,IL
Washington,Nashville,IL
Wayne,Fairfield,IL
White,Carmi,IL
Whiteside,Morrison,IL
Will,Joliet,IL
Williamson,Marion,IL
Winnebago,Rockford,IL
Woodford,Eureka,IL
